=== ICMP Latency Summary (RFC 8456 §5.1.2) ===
Topology : Large (~500 hosts, 48-port switches)   Pairs: 252

Pair                           Min(ms)    Avg(ms)    Max(ms)    Loss(%)   
------------------------------ --------   --------   --------   --------  
h1->h253                        0.018     7.197      1078.936   0%        
h2->h254                        0.013     4.754      816.333    0%        
h3->h255                        0.017     9.094      1212.541   0%        
h4->h256                        0.017     7.034      1059.583   0%        
h5->h257                        0.019     7.050      1059.567   0%        
h6->h258                        0.018     8.518      1118.834   0%        
h7->h259                        0.017     8.989      1213.915   0%        
h8->h260                        0.017     11.962     1442.633   0%        
h9->h261                        0.019     11.418     1401.023   0%        
h10->h262                       0.018     12.248     1462.489   0%        
h11->h263                       0.016     8.971      1191.722   0%        
h12->h264                       0.017     8.508      1109.651   0%        
h13->h265                       0.018     8.887      1175.096   0%        
h14->h266                       0.018     8.605      1139.038   0%        
h15->h267                       0.017     11.759     1418.763   0%        
h16->h268                       0.018     6.953      1033.791   0%        
h17->h269                       0.017     6.962      1032.995   0%        
h18->h270                       0.017     7.032      1049.279   0%        
h19->h271                       0.019     11.549     1388.133   0%        
h20->h272                       0.016     9.149      1215.028   0%        
h21->h273                       0.017     7.255      1143.327   0%        
h22->h274                       0.018     7.034      1055.299   0%        
h23->h275                       0.017     8.871      1179.645   0%        
h24->h276                       0.015     8.758      1138.410   0%        
h25->h277                       0.017     6.571      929.182    0%        
h26->h278                       0.019     11.321     1382.701   0%        
h27->h279                       0.017     6.696      971.453    0%        
h28->h280                       0.021     11.174     1327.138   0%        
h29->h281                       0.018     11.303     1347.198   0%        
h30->h282                       0.019     6.725      983.328    0%        
h31->h283                       0.016     6.639      959.795    0%        
h32->h284                       0.017     11.054     1327.316   0%        
h33->h285                       0.019     10.999     1319.665   0%        
h34->h286                       0.017     11.388     1380.216   0%        
h35->h287                       0.017     6.676      972.736    0%        
h36->h288                       0.016     6.704      985.525    0%        
h37->h289                       0.017     7.213      1052.934   0%        
h38->h290                       0.018     6.545      919.552    0%        
h39->h291                       0.018     12.243     1477.603   0%        
h40->h292                       0.016     12.172     1480.665   0%        
h41->h293                       0.017     11.726     1431.142   0%        
h42->h294                       0.017     11.906     1430.863   0%        
h43->h295                       0.018     6.493      914.917    0%        
h44->h296                       0.021     8.712      1127.361   0%        
h45->h297                       0.019     11.160     1356.428   0%        
h46->h298                       0.017     11.116     1344.902   0%        
h47->h299                       0.018     12.325     1483.966   0%        
h48->h300                       0.017     6.579      933.409    0%        
h49->h301                       0.018     7.042      1034.981   0%        
h50->h302                       0.016     9.422      1259.015   0%        
h51->h303                       0.017     14.703     1611.799   0%        
h52->h304                       0.021     12.285     1471.512   0%        
h53->h305                       0.019     11.073     1332.097   0%        
h54->h306                       0.018     13.461     1489.819   0%        
h55->h307                       0.018     12.376     1490.346   0%        
h56->h308                       0.017     10.992     1302.914   0%        
h57->h309                       0.018     9.465      1264.058   0%        
h58->h310                       0.016     11.010     1303.810   0%        
h59->h311                       0.016     11.365     1403.811   0%        
h60->h312                       0.018     11.509     1399.861   0%        
h61->h313                       0.018     11.086     1329.955   0%        
h62->h314                       0.018     9.441      1250.825   0%        
h63->h315                       0.017     11.082     1336.043   0%        
h64->h316                       0.020     7.043      1034.215   0%        
h65->h317                       0.018     11.050     1329.675   0%        
h66->h318                       0.017     9.479      1275.424   0%        
h67->h319                       0.018     9.422      1236.363   0%        
h68->h320                       0.018     11.352     1407.442   0%        
h69->h321                       0.018     11.521     1405.544   0%        
h70->h322                       0.017     11.642     1417.736   0%        
h71->h323                       0.016     13.354     1488.452   0%        
h72->h324                       0.017     12.206     1486.018   0%        
h73->h325                       0.020     9.626      1277.915   0%        
h74->h326                       0.020     9.520      1266.347   0%        
h75->h327                       0.016     9.026      1198.172   0%        
h76->h328                       0.018     11.169     1346.434   0%        
h77->h329                       0.017     12.201     1482.138   0%        
h78->h330                       0.018     9.632      1278.332   0%        
h79->h331                       0.017     9.521      1275.266   0%        
h80->h332                       0.018     11.067     1336.422   0%        
h81->h333                       0.017     9.145      1225.620   0%        
h82->h334                       0.017     9.171      1226.111   0%        
h83->h335                       0.016     9.081      1204.251   0%        
h84->h336                       0.018     9.095      1206.134   0%        
h85->h337                       0.016     11.907     1441.162   0%        
h86->h338                       0.019     11.024     1320.580   0%        
h87->h339                       0.021     9.016      1201.352   0%        
h88->h340                       0.018     11.064     1326.352   0%        
h89->h341                       0.018     9.066      1208.670   0%        
h90->h342                       0.020     11.091     1323.332   0%        
h91->h343                       0.018     12.281     1478.025   0%        
h92->h344                       0.019     9.041      1201.987   0%        
h93->h345                       0.017     12.154     1483.808   0%        
h94->h346                       0.017     11.188     1350.393   0%        
h95->h347                       0.020     12.154     1466.418   0%        
h96->h348                       0.018     12.020     1464.376   0%        
h97->h349                       0.018     11.494     1379.850   0%        
h98->h350                       0.017     14.735     1587.469   0%        
h99->h351                       0.018     9.455      1239.197   0%        
h100->h352                      0.016     11.268     1352.776   0%        
h101->h353                      0.018     14.649     1591.437   0%        
h102->h354                      0.017     11.679     1415.086   0%        
h103->h355                      0.019     9.115      1216.053   0%        
h104->h356                      0.019     9.431      1236.511   0%        
h105->h357                      0.019     9.209      1219.251   0%        
h106->h358                      0.018     9.148      1216.016   0%        
h107->h359                      0.019     11.197     1349.964   0%        
h108->h360                      0.018     11.226     1356.493   0%        
h109->h361                      0.018     14.438     1557.574   0%        
h110->h362                      0.019     13.585     1511.295   0%        
h111->h363                      0.019     13.636     1529.335   0%        
h112->h364                      0.017     11.360     1365.484   0%        
h113->h365                      0.017     13.918     1555.420   0%        
h114->h366                      0.016     11.178     1338.749   0%        
h115->h367                      0.017     12.029     1441.878   0%        
h116->h368                      0.018     11.222     1340.164   0%        
h117->h369                      0.020     14.710     1604.420   0%        
h118->h370                      0.018     13.877     1556.695   0%        
h119->h371                      0.017     11.304     1355.841   0%        
h120->h372                      0.016     14.779     1616.642   0%        
h121->h373                      0.019     11.312     1356.624   0%        
h122->h374                      0.017     11.244     1349.499   0%        
h123->h375                      0.018     14.627     1597.455   0%        
h124->h376                      0.019     11.253     1357.991   0%        
h125->h377                      0.016     14.273     1561.424   0%        
h126->h378                      0.018     13.537     1510.436   0%        
h127->h379                      0.016     16.323     1706.583   0%        
h128->h380                      0.020     17.006     1689.034   0%        
h129->h381                      0.018     13.539     1510.539   0%        
h130->h382                      0.019     16.145     1704.038   0%        
h131->h383                      0.017     14.643     1597.289   0%        
h132->h384                      0.018     14.671     1600.327   0%        
h133->h385                      0.017     14.659     1597.643   0%        
h134->h386                      0.019     12.278     1476.489   0%        
h135->h387                      0.021     14.693     1602.375   0%        
h136->h388                      0.017     15.380     1695.307   0%        
h137->h389                      0.017     12.301     1476.128   0%        
h138->h390                      0.018     17.070     1714.120   0%        
h139->h391                      0.018     17.063     1714.002   0%        
h140->h392                      0.019     14.684     1600.645   0%        
h141->h393                      0.017     15.323     1689.991   0%        
h142->h394                      0.018     16.059     1693.775   0%        
h143->h395                      0.018     15.418     1698.461   0%        
h144->h396                      0.017     17.049     1713.392   0%        
h145->h397                      0.017     17.034     1693.819   0%        
h146->h398                      0.020     17.076     1703.649   0%        
h147->h399                      0.020     17.353     1775.822   0%        
h148->h400                      0.016     17.058     1703.298   0%        
h149->h401                      0.018     11.355     1334.486   0%        
h150->h402                      0.018     13.058     1557.752   0%        
h151->h403                      0.018     11.334     1337.246   0%        
h152->h404                      0.018     16.103     1687.695   0%        
h153->h405                      0.019     12.003     1443.873   0%        
h154->h406                      0.019     13.046     1552.324   0%        
h155->h407                      0.019     17.043     1694.745   0%        
h156->h408                      0.018     17.146     1722.911   0%        
h157->h409                      0.018     12.158     1454.810   0%        
h158->h410                      0.016     12.053     1448.442   0%        
h159->h411                      0.017     12.077     1441.009   0%        
h160->h412                      0.020     12.082     1451.352   0%        
h161->h413                      0.017     16.207     1713.852   0%        
h162->h414                      0.018     17.002     1700.334   0%        
h163->h415                      0.021     17.605     1805.619   0%        
h164->h416                      0.018     13.039     1552.341   0%        
h165->h417                      0.017     12.957     1557.729   0%        
h166->h418                      0.017     17.077     1709.247   0%        
h167->h419                      0.018     17.013     1703.198   0%        
h168->h420                      0.018     11.936     1441.408   0%        
h169->h421                      0.017     16.200     1704.328   0%        
h170->h422                      0.016     16.203     1709.351   0%        
h171->h423                      0.018     17.124     1722.604   0%        
h172->h424                      0.016     11.938     1422.592   0%        
h173->h425                      0.017     17.026     1698.258   0%        
h174->h426                      0.017     15.296     1678.989   0%        
h175->h427                      0.019     16.137     1690.622   0%        
h176->h428                      0.019     14.694     1584.480   0%        
h177->h429                      0.017     17.062     1716.096   0%        
h178->h430                      0.019     17.112     1720.783   0%        
h179->h431                      0.017     14.801     1604.373   0%        
h180->h432                      0.017     15.183     1658.929   0%        
h181->h433                      0.019     11.938     1424.662   0%        
h182->h434                      0.018     14.723     1582.762   0%        
h183->h435                      0.021     15.346     1689.533   0%        
h184->h436                      0.017     14.684     1588.972   0%        
h185->h437                      0.018     14.732     1590.933   0%        
h186->h438                      0.020     15.279     1670.203   0%        
h187->h439                      0.018     17.724     1830.120   0%        
h188->h440                      0.015     17.227     1728.922   0%        
h189->h441                      0.017     16.244     1713.323   0%        
h190->h442                      0.018     17.073     1720.392   0%        
h191->h443                      0.017     15.242     1666.444   0%        
h192->h444                      0.018     17.085     1720.651   0%        
h193->h445                      0.019     17.927     1859.949   0%        
h194->h446                      0.017     16.999     1701.717   0%        
h195->h447                      0.019     17.067     1719.014   0%        
h196->h448                      0.019     17.725     1844.163   0%        
h197->h449                      0.017     17.435     1792.556   0%        
h198->h450                      0.019     17.448     1792.846   0%        
h199->h451                      0.019     17.030     1702.885   0%        
h200->h452                      0.020     18.191     1893.323   0%        
h201->h453                      0.017     16.987     1693.838   0%        
h202->h454                      0.017     16.998     1693.148   0%        
h203->h455                      0.016     15.340     1685.532   0%        
h204->h456                      0.017     18.888     1912.757   0%        
h205->h457                      0.018     17.843     1855.255   0%        
h206->h458                      0.017     17.776     1837.213   0%        
h207->h459                      0.017     17.275     1757.589   0%        
h208->h460                      0.019     18.134     1869.705   0%        
h209->h461                      0.017     17.889     1855.044   0%        
h210->h462                      0.019     16.989     1703.262   0%        
h211->h463                      0.017     17.279     1756.844   0%        
h212->h464                      0.018     18.226     1885.340   0%        
h213->h465                      0.020     17.102     1721.877   0%        
h214->h466                      0.019     19.131     1944.889   0%        
h215->h467                      0.017     18.213     1885.320   0%        
h216->h468                      0.018     18.793     1914.934   0%        
h217->h469                      0.016     19.206     1940.919   0%        
h218->h470                      0.016     17.596     1821.230   0%        
h219->h471                      0.018     18.120     1874.744   0%        
h220->h472                      0.019     18.077     1867.539   0%        
h221->h473                      0.017     19.626     1991.700   0%        
h222->h474                      0.016     17.441     1782.952   0%        
h223->h475                      0.021     17.542     1806.134   0%        
h224->h476                      0.018     18.886     1926.176   0%        
h225->h477                      0.017     19.094     1943.358   0%        
h226->h478                      0.016     17.928     1868.752   0%        
h227->h479                      0.019     18.964     1936.567   0%        
h228->h480                      0.018     17.645     1816.576   0%        
h229->h481                      0.018     17.554     1806.830   0%        
h230->h482                      0.020     18.975     1926.171   0%        
h231->h483                      0.020     19.571     1963.881   0%        
h232->h484                      0.017     18.933     1927.648   0%        
h233->h485                      0.018     19.277     1964.536   0%        
h234->h486                      0.020     18.022     1850.168   0%        
h235->h487                      0.018     17.953     1852.172   0%        
h236->h488                      0.018     19.091     1924.994   0%        
h237->h489                      0.017     17.697     1828.663   0%        
h238->h490                      0.018     18.355     1902.631   0%        
h239->h491                      0.017     17.862     1842.286   0%        
h240->h492                      0.019     19.263     1965.004   0%        
h241->h493                      0.017     19.265     1957.166   0%        
h242->h494                      0.019     18.177     1877.916   0%        
h243->h495                      0.020     19.082     1929.702   0%        
h244->h496                      0.018     17.621     1803.407   0%        
h245->h497                      0.019     19.102     1957.180   0%        
h246->h498                      0.018     18.156     1879.100   0%        
